START TIME:2025-04-28 18:25:15,
53.728,1143343
53.763,1143373
53.804,1143347
53.839,1143162
53.882,1143272
53.917,1143337
53.96,1143338
53.996,1143325
54.031,1143334
54.073,1143396
54.109,1143206
54.149,1143258
54.184,1143403
54.22,1143395
54.26,1143348
54.296,1143297
54.331,1143461
54.372,1143512
54.407,1143501
54.45,1143352
54.486,1143410
54.521,1143504
54.563,1143434
54.599,1143576
54.641,1143555
54.676,1143501
54.711,1143517
54.751,1143610
54.786,1143475
54.821,1143490
54.863,1143582
54.898,1143561
54.941,1143629
54.977,1143637
55.018,1143595
55.058,1143686
55.097,1143564
55.138,1143598
55.175,1143745
55.218,1143647
55.253,1143578
55.288,1143548
55.324,1143631
55.364,1143706
55.399,1143715
55.438,1143566
55.474,1143622
55.517,1143646
55.554,1143665
55.597,1143679
55.632,1143725
55.668,1143560
55.71,1143543
55.745,1143648
55.78,1143795
55.823,1143595
55.858,1143568
55.893,1143615
55.934,1143796
55.969,1143755
56.009,1143657
56.045,1143740
56.087,1143757
56.123,1143718
56.158,1143889
56.201,1143847
56.236,1143818
56.271,1143762
56.314,1143804
56.349,1143903
56.384,1143954
56.425,1143793
56.461,1143788
56.5,1143948
56.537,1144025
56.579,1143966
56.617,1144007
56.652,1143870
56.694,1143908
56.729,1143954
56.764,1143946
56.806,1143892
56.842,1143859
56.884,1143876
56.919,1144020
56.961,1143981
56.996,1143866
57.031,1143898
57.072,1143837
57.107,1143850
57.15,1143970
57.186,1143927
57.221,1143883
57.264,1143860
57.299,1143827
57.341,1143915
57.376,1143873
57.411,1143782
57.452,1143784
57.487,1143876
57.522,1143882
57.563,1143818
57.598,1143894
57.641,1143818
57.676,1143742
57.711,1143752
57.754,1143855
57.789,1143916
57.824,1143907
57.864,1143902
57.899,1143878
57.934,1143957
57.975,1143789
58.01,1143845
58.053,1143962
58.088,1143932
58.131,1143986
58.166,1144000
58.201,1143978
58.243,1144020
58.279,1143970
58.314,1143919
58.354,1144011
58.389,1143907
58.425,1143882
58.466,1144020
58.5,1144090
58.543,1143954
58.578,1144025
58.621,1143946
58.657,1143954
58.692,1143873
58.734,1143925
58.769,1144017
58.805,1144002
58.846,1143907
58.88,1143996
58.916,1143942
58.955,1143881
58.989,1143882
59.032,1143995
59.068,1143970
59.103,1143959
59.145,1144022
59.18,1144028
59.222,1143902
59.258,1143877
59.293,1143920
59.334,1143931
59.369,1143961
59.404,1143915
59.445,1144001
59.48,1144022
59.523,1143888
59.558,1143957
59.601,1143954
59.636,1143913
59.672,1143902
59.715,1143963
59.75,1144061
59.785,1144047
59.826,1144099
59.861,1144160
59.896,1143636
59.937,1143277
59.972,1142995
60.014,1142606
60.049,1142340
60.092,1142278
60.127,1141984
60.162,1141778
60.204,1141757
60.239,1141466
60.274,1141342
60.315,1141325
60.35,1141060
60.385,1141081
60.426,1140929
60.461,1140746
60.504,1140735
60.539,1140560
60.582,1140390
60.617,1140318
60.652,1140345
60.695,1140344
60.73,1140120
60.772,1139969
60.807,1140028
60.843,1140068
60.883,1139828
60.918,1139690
60.954,1139812
60.995,1139635
61.03,1139794
61.073,1139650
61.108,1139491
61.143,1139485
61.186,1139500
61.221,1139451
61.257,1139314
61.296,1139326
61.331,1139298
61.366,1139478
61.406,1139351
61.441,1139192
61.484,1139232
61.519,1139090
61.562,1139062
61.598,1139076
61.633,1139136
61.675,1138900
61.711,1138911
61.746,1138937
61.789,1139013
61.823,1138909
61.858,1138825
61.899,1138847
61.933,1138768
61.976,1138670
62.01,1138771
62.053,1138758
62.088,1138682
62.123,1138711
62.166,1138726
62.201,1138658
62.236,1138512
62.279,1138417
62.314,1138442
62.349,1138451
62.39,1138446
62.424,1138438
62.465,1138463
62.501,1138327
62.544,1138352
62.579,1138273
62.614,1138194
62.657,1138078
62.692,1138080
62.727,1138148
62.769,1138085
62.805,1138062
62.84,1138053
62.88,1138056
62.914,1138099
62.956,1137935
62.992,1138078
63.034,1138072
63.07,1137915
63.105,1137888
63.148,1137994
63.183,1137946
63.218,1137961
63.259,1138027
63.295,1138000
63.33,1137960
63.369,1137918
63.404,1137865
63.447,1137868
63.482,1137928
63.525,1137878
63.561,1137911
63.596,1137869
63.639,1137816
63.673,1137892
63.708,1137770
63.747,1137737
63.782,1137758
63.818,1137782
63.859,1137847
63.894,1137728
63.937,1137706
63.972,1137807
64.015,1137870
64.051,1137703
64.086,1137740
64.128,1137747
64.163,1137720
64.198,1137765
64.24,1137763
64.275,1137739
64.31,1137672
64.351,1137634
64.387,1137596
64.427,1137663
64.462,1137664
64.505,1137500
64.541,1137615
64.576,1137538
64.618,1137438
64.654,1137506
64.689,1137395
64.73,1137407
64.765,1137523
64.801,1137508
64.841,1137410
64.876,1137398
64.918,1137423
64.954,1137486
64.997,1137514
65.032,1137412
65.067,1137437
65.11,1137527
65.146,1137350
65.181,1137474
65.221,1137528
65.256,1137476
65.291,1137463
65.331,1137414
65.367,1137487
65.41,1137501
65.445,1137494
65.488,1137444
65.523,1137563
65.558,1137504
65.601,1137482
65.636,1137446
65.671,1137471
65.711,1137469
65.746,1137432
65.781,1137353
65.823,1137277
65.858,1137437
65.9,1137365
65.935,1137282
65.978,1137316
66.014,1137273
66.049,1137196
66.091,1137290
66.126,1137398
66.161,1137336
66.197,1137261
66.237,1137165
66.272,1137311
66.311,1137279
66.349,1137083
66.391,1137126
66.428,1137194
66.471,1137082
66.507,1137182
66.542,1137225
66.584,1137182
66.62,1137158
66.655,1137033
66.696,1137048
66.731,1137128
66.766,1137079
66.807,1137001
66.843,1137054
66.885,1137064
66.92,1137010
66.963,1136947
66.998,1137004
67.034,1137049
67.077,1136903
67.112,1136938
67.155,1137002
67.19,1136951
67.225,1136939
67.268,1136951
67.303,1137023
67.338,1136875
67.378,1136888
67.414,1136933
67.455,1136894
67.49,1136937
67.533,1136995
67.569,1136956
67.604,1136928
67.64,1136888
67.681,1136879
67.716,1136862
67.752,1136917
67.792,1136806
67.827,1136908
67.87,1136902
67.906,1136763
67.949,1136862
67.984,1136957
68.019,1136943
68.062,1136779
68.098,1136828
68.139,1136852
68.174,1136877
68.21,1136832
68.249,1136861
68.284,1136980
68.319,1136801
68.361,1136821
68.397,1136889
68.44,1136883
68.475,1136841
68.517,1136758
68.554,1136915
68.596,1136904
68.637,1136923
68.675,1136862
68.716,1136933
68.755,1136915
68.797,1136821
68.834,1136928
68.869,1136913
68.904,1136864
68.945,1136953
68.98,1136948
69.022,1136880
69.057,1136821
69.097,1136818
69.133,1136842
69.175,1136797
69.213,1136689
69.247,1136937
69.289,1136871
69.324,1136839
69.359,1137301
69.394,1137122
69.435,1137408
69.469,1136658
69.508,1138501
69.546,1138560
69.588,1138701
69.625,1138861
69.668,1138673
69.705,1138654
69.74,1138695
69.782,1138719
69.817,1138844
69.852,1138755
69.894,1138782
69.929,1139072
69.964,1139058
70.005,1139148
70.04,1139237
70.082,1139367
70.117,1139480
70.16,1139588
70.195,1139829
70.23,1139921
70.272,1139994
70.307,1140133
70.342,1140247
70.377,1140184
70.419,1140343
70.453,1140461
70.491,1140482
70.529,1140460
70.571,1140701
70.609,1140728
70.651,1140661
70.687,1140751
70.729,1140855
70.766,1140753
70.801,1140877
70.842,1140859
70.878,1140918
70.913,1141010
70.948,1140962
70.988,1141145
71.022,1141120
71.062,1141070
71.098,1141109
71.141,1141146
71.178,1141270
71.213,1141275
71.255,1141241
71.29,1141343
71.325,1141289
71.36,1141244
71.401,1141472
71.436,1141466
71.474,1141451
71.512,1141546
71.547,1141584
71.589,1141647
71.624,1141468
71.659,1141488
71.701,1141599
71.737,1141651
71.772,1141647
71.811,1141723
71.846,1141804
71.888,1141671
71.923,1141735
71.966,1141761
72.001,1141704
72.036,1141686
72.079,1141851
72.114,1141848
72.149,1141806
72.192,1141821
72.227,1141983
72.262,1141876
72.302,1141809
72.337,1141856
72.379,1141916
72.414,1141932
72.457,1142017
72.494,1142090
72.528,1142107
72.57,1142052
72.605,1142085
72.641,1142163
72.676,1142111
72.715,1142091
72.75,1142054
72.79,1142243
72.826,1142231
72.868,1142160
72.905,1142191
72.94,1142089
72.982,1142074
73.017,1142116
73.052,1142181
73.094,1142256
73.129,1142204
73.172,1142227
73.207,1142263
73.242,1142352
73.284,1142148
73.319,1142193
73.361,1142278
73.396,1142239
73.439,1142305
73.475,1142403
73.51,1142259
73.552,1142232
73.587,1142310
73.622,1142349
73.657,1142245
73.697,1142210
73.732,1142231
73.771,1142410
73.809,1142315
73.851,1142298
73.887,1142387
73.922,1142268
73.965,1142359
74,1142437
74.035,1142475
74.078,1142506
74.113,1142393
74.148,1142360
74.189,1142483
74.224,1142552
74.265,1142393
74.3,1142408
74.343,1142461
74.378,1142459
74.414,1142546
74.456,1142479
74.492,1142529
74.527,1142471
74.57,1142502
74.605,1142562
74.64,1142482
74.681,1142410
74.717,1142540
74.755,1142595
74.792,1142617
74.834,1142580
74.872,1142610
74.907,1142512
74.95,1142550
74.985,1142578
75.02,1142687
75.061,1142588
75.097,1142591
75.132,1142624
75.173,1142678
75.208,1142713
75.251,1142590
75.286,1142611
75.321,1142632
75.364,1142524
75.4,1142597
75.435,1142596
75.475,1142681
75.51,1142659
75.545,1142686
75.586,1142731
75.621,1142613
75.664,1142622
75.699,1142709
75.742,1142728
75.778,1142693
75.813,1142521
75.856,1142581
75.891,1142704
75.926,1142676
75.968,1142624
76.003,1142738
76.038,1142528
76.079,1142624
76.114,1142689
76.156,1142735
76.191,1142607
76.234,1142580
76.27,1142764
76.305,1142760
76.348,1142642
76.384,1142681
76.426,1142743
76.461,1142595
76.503,1142618
76.538,1142716
76.574,1142692
76.615,1142689
76.651,1142815
76.693,1142752
76.729,1142747
76.765,1142705
76.808,1142727
76.843,1142793
76.884,1142749
76.925,1142715
76.963,1142868
77.005,1142795
77.043,1142744
77.085,1142785
77.122,1142847
77.157,1142834
77.192,1142730
77.234,1142740
77.269,1142726
77.311,1142846
77.346,1142807
77.388,1142781
77.423,1142845
77.466,1142714
77.502,1142740
77.537,1142838
77.579,1142872
77.615,1142693
77.65,1142678
77.691,1142871
77.725,1142840
77.761,1142833
77.801,1142738
77.837,1142774
77.88,1142842
77.915,1142657
77.958,1142799
77.994,1142802
78.029,1142711
78.071,1142730
78.107,1142792
78.15,1142813
78.184,1142683
